"""",MC-11001,MC-11001 | bikini damas ; talla-l color: blanco color: na,,"update sku set sku_readable = ""MC-11001 | bikini damas ; talla-l color: blanco color: na"" where sku = ""MC-11001"";"
"""",MC-09002,MC-09002 | bikini damas ; talla-s color: rosado color: na,,"update sku set sku_readable = ""MC-09002 | bikini damas ; talla-s color: rosado color: na"" where sku = ""MC-09002"";"
"""",MC-10002,MC-10002 | bikini damas ; talla-m color: rosado color: na,,"update sku set sku_readable = ""MC-10002 | bikini damas ; talla-m color: rosado color: na"" where sku = ""MC-10002"";"
"""",MC-11002,MC-11002 | bikini damas ; talla-l color: rosado color: na,,"update sku set sku_readable = ""MC-11002 | bikini damas ; talla-l color: rosado color: na"" where sku = ""MC-11002"";"
"""",MC-09003,MC-09003 | bikini damas ; talla-s color: beige color: na,,"update sku set sku_readable = ""MC-09003 | bikini damas ; talla-s color: beige color: na"" where sku = ""MC-09003"";"
"""",MC-10003,MC-10003 | bikini damas ; talla-m color: beige color: na,,"update sku set sku_readable = ""MC-10003 | bikini damas ; talla-m color: beige color: na"" where sku = ""MC-10003"";"
"""",MC-11003,MC-11003 | bikini damas ; talla-l color: beige color: na,,"update sku set sku_readable = ""MC-11003 | bikini damas ; talla-l color: beige color: na"" where sku = ""MC-11003"";"
"""",MC-09004,MC-09004 | bikini damas ; talla-s color: melon color: na,,"update sku set sku_readable = ""MC-09004 | bikini damas ; talla-s color: melon color: na"" where sku = ""MC-09004"";"
"""",MC-10004,MC-10004 | bikini damas ; talla-m color: melon color: na,,"update sku set sku_readable = ""MC-10004 | bikini damas ; talla-m color: melon color: na"" where sku = ""MC-10004"";"
"""",MC-11004,MC-11004 | bikini damas ; talla-l color: melon color: na,,"update sku set sku_readable = ""MC-11004 | bikini damas ; talla-l color: melon color: na"" where sku = ""MC-11004"";"
"""",MC-09005,MC-09005 | bikini damas ; talla-s color: crema color: na,,"update sku set sku_readable = ""MC-09005 | bikini damas ; talla-s color: crema color: na"" where sku = ""MC-09005"";"
"""",MC-10005,MC-10005 | bikini damas ; talla-m color: crema color: na,,"update sku set sku_readable = ""MC-10005 | bikini damas ; talla-m color: crema color: na"" where sku = ""MC-10005"";"
"""",MC-11005,MC-11005 | bikini damas ; talla-l color: crema color: na,,"update sku set sku_readable = ""MC-11005 | bikini damas ; talla-l color: crema color: na"" where sku = ""MC-11005"";"
"""",MC-09006,MC-09006 | bikini damas ; talla-s color: lila color: na,,"update sku set sku_readable = ""MC-09006 | bikini damas ; talla-s color: lila color: na"" where sku = ""MC-09006"";"
"""",MC-10006,MC-10006 | bikini damas ; talla-m color: lila color: na,,"update sku set sku_readable = ""MC-10006 | bikini damas ; talla-m color: lila color: na"" where sku = ""MC-10006"";"
"""",MC-11006,MC-11006 | bikini damas ; talla-l color: lila color: na,,"update sku set sku_readable = ""MC-11006 | bikini damas ; talla-l color: lila color: na"" where sku = ""MC-11006"";"
"""",MC-09007,MC-09007 | bikini damas ; talla-s color: celeste color: na,,"update sku set sku_readable = ""MC-09007 | bikini damas ; talla-s color: celeste color: na"" where sku = ""MC-09007"";"
"""",MC-10007,MC-10007 | bikini damas ; talla-m color: celeste color: na,,"update sku set sku_readable = ""MC-10007 | bikini damas ; talla-m color: celeste color: na"" where sku = ""MC-10007"";"
"""",MC-11007,MC-11007 | bikini damas ; talla-l color: celeste color: na,,"update sku set sku_readable = ""MC-11007 | bikini damas ; talla-l color: celeste color: na"" where sku = ""MC-11007"";"
"""",MC-09008,MC-09008 | bikini damas ; talla-s color: negro color: na,,"update sku set sku_readable = ""MC-09008 | bikini damas ; talla-s color: negro color: na"" where sku = ""MC-09008"";"
"""",MC-10008,MC-10008 | bikini damas ; talla-m color: negro color: na,,"update sku set sku_readable = ""MC-10008 | bikini damas ; talla-m color: negro color: na"" where sku = ""MC-10008"";"
"""",MC-11008,MC-11008 | bikini damas ; talla-l color: negro color: na,,"update sku set sku_readable = ""MC-11008 | bikini damas ; talla-l color: negro color: na"" where sku = ""MC-11008"";"
"""",MC-09009,MC-09009 | bikini damas ; talla-s color: rojo color: na,,"update sku set sku_readable = ""MC-09009 | bikini damas ; talla-s color: rojo color: na"" where sku = ""MC-09009"";"
"""",MC-10009,MC-10009 | bikini damas ; talla-m color: rojo color: na,,"update sku set sku_readable = ""MC-10009 | bikini damas ; talla-m color: rojo color: na"" where sku = ""MC-10009"";"
"""",MC-11009,MC-11009 | bikini damas ; talla-l color: rojo color: na,,"update sku set sku_readable = ""MC-11009 | bikini damas ; talla-l color: rojo color: na"" where sku = ""MC-11009"";"
"""",MC-09010,MC-09010 | bikini damas ; talla-s color: verde agua color: na,,"update sku set sku_readable = ""MC-09010 | bikini damas ; talla-s color: verde agua color: na"" where sku = ""MC-09010"";"
